workwave.jp	ns2.customer.ne.jp.,ns1.customer.ne.jp.
bbsq.jp	asns2.customer.ne.jp.,asns1.customer.ne.jp.
miraizukuri.jp	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
secmail.jp	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
tsuzukeru.jp	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
netp.jp	nsh1.asp.mewave.com.,nsh2.asp.mewave.com.
skydeskwriter.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skydeskpayments.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skydesksheet.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
skydeskprojects.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skydeskdeluge.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
skydeskdocs.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skydeskcreatorportal.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
sdc-image.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
skydeskreports.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skydesksupport.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
skydesksocial.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skydesksalesinbox.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
skydeskmproxy.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
skydeskmotivator.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
sd-email-view.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
sd-transmail.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
skydeskcreator.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
sdc-campaign-view.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
sdc-tell-your-friend.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
sdcsignup.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skyterior.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
skydeskpublic.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
sdcmanage.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
sdcsend.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
gacrux.net	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
publicprint.net	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
kikitabi.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
net-wps.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
opusplaza.net	
opusplaza.com	
accessticket.com	
beatdesk.net	asns2.customer.ne.jp.,asns1.customer.ne.jp.
cresite.jp	ns6-tk02.ocn.ad.jp.,ns6-tk01.ocn.ad.jp.
docu-plaza.com	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
fujixerox-hosting.com	ns-1389.awsdns-45.org.,ns-1824.awsdns-36.co.uk.,ns-323.awsdns-40.com.,ns-697.awsdns-23.net.
fx-partnerweb.jp	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
fx-portal-ast.net	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
fx-portal-mt.net	b203.psi-japan.net.,b204.psi-japan.net.,b202.psi-japan.net.
fxfe.com.hk	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
fxk.kr	pf1.rgpack.com.,pf2.rgpack.com.
fxresyogyo.jp	asns2.customer.ne.jp.,asns1.customer.ne.jp.
idchosting-support1.com	asns1.customer.ne.jp.,asns2.customer.ne.jp.
idchosting-support2.com	asns2.customer.ne.jp.,asns1.customer.ne.jp.
idchosting-support3.com	asns2.customer.ne.jp.,asns1.customer.ne.jp.
idchosting-support4.com	asns2.customer.ne.jp.,asns1.customer.ne.jp.
inter-graphics.net	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
net-beat.net	asns2.customer.ne.jp.,asns1.customer.ne.jp.
office-anshin-trial.com	asns2.customer.ne.jp.,asns1.customer.ne.jp.
oofsquare.net	ns6-tk02.ocn.ad.jp.,ns6-tk01.ocn.ad.jp.
plaza-edsf.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
printer-exp.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
sdes.net	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skydesk-dev1.jp	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
skydesk.cn	ns1.instradns.com.,ns2.instradns.com.,ns3.instradns.com.
skydesk.tw	ns3.instradns.com.,ns2.instradns.com.,ns1.instradns.com.
skydeskcrm.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
suzukafx.co.jp	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
suzukafx.com	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
tsurumi-documentscenter.net	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
xn--3e0bl1ssji7tf87bp72abkc.kr	
xn--3o2b01q7pe8xb8z4a.kr	
xn--3o2bo6bd8jgta95symv.kr	
xn--3o2bo6br8k7yf.kr	
ymm-qatbeat.com	asns2.customer.ne.jp.,asns1.customer.ne.jp.
e-don.co.jp	ns1.dns.ne.jp.,ns2.dns.ne.jp.
espace-inc.com	02.dnsv.jp.,04.dnsv.jp.,01.dnsv.jp.,03.dnsv.jp.
koa-8.com	ns0.kagoya.net.,ns1.kagoya.net.
koa-net.co.jp	asns1.customer.ne.jp.,asns2.customer.ne.jp.
net-koa.jp	dns01.athome-hp.jp.,dns02.athome-hp.jp.
キャッシュレス.com	
akita-xerox.co.jp	asns1.customer.ne.jp.,asns2.customer.ne.jp.
bacchusdo.com	uns02.lolipop.jp.,uns01.lolipop.jp.
btpxgl.com	dns2.hichina.com.,dns1.hichina.com.
karatsuyaki-kamamoto.jp	asns2.customer.ne.jp.,asns1.customer.ne.jp.
soar-co.com	ns1.rsjpserver.net.,ns2.rsjpserver.net.
soar-saga.co.jp	asns2.customer.ne.jp.,asns1.customer.ne.jp.
soars-sp.com	
spooky.co.jp	ns2.dnss-do.com.,ns1.dnss-do.com.
oitaxerox.co.jp	asns1.customer.ne.jp.,asns2.customer.ne.jp.
yamagata-xerox.co.jp	ns-1260.awsdns-29.org.,ns-2036.awsdns-62.co.uk.,ns-375.awsdns-46.com.,ns-986.awsdns-59.net.
